NU_INSCRICAO,TP_SEXO,TP_FAIXA_ETARIA,TP_COR_RACA,TP_ESCOLA,TP_ENSINO,TP_DEPENDENCIA_ADM_ESC,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,MEDIA_GERAL
210059911385,Feminino,9,Branca,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,E,E,D,D,2,0
210059212781,Masculino,3,Branca,Não respondeu,NA,NA,1,1,1,1,660.2,634,570.7,743.5,820,E,E,E,B,3,685.6800000000001
210059829491,Masculino,2,Parda,Pública,Ensino Regular,Estadual,1,1,1,1,473,468.8,434.4,459.5,540,H,H,F,B,4,475.14
210061193650,Masculino,5,Parda,Pública,NA,NA,0,0,0,0,0,0,0,0,0,B,H,A,C,3,0
210060512081,Masculino,2,Branca,Não respondeu,NA,NA,1,1,1,1,540,619.7,556.3,749,780,G,G,E,E,4,649
210059083846,Feminino,3,Branca,Pública,Ensino Regular,Federal,1,1,1,1,668.7,587.8,656.8,750.7,920,F,F,E,D,3,716.8
210061125654,Masculino,4,Parda,Não respondeu,NA,NA,1,1,1,1,494.4,593.3,631.7,621.1,640,B,C,C,B,4,596.1
210059946857,Feminino,1,Parda,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,E,E,C,B,3,0
210061440726,Feminino,1,Branca,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,G,G,D,D,5,0
210061568313,Masculino,3,Preta,Pública,Ensino Regular,NA,1,1,1,1,589.2,508.1,596,547.3,700,D,E,C,B,6,588.12
210061375094,Masculino,9,Preta,Não respondeu,NA,NA,0,1,1,0,0,381.6,352.7,0,0,C,C,B,B,3,146.86
210059305741,Masculino,3,Amarela,Não respondeu,NA,NA,1,1,1,1,616.3,646.8,640.4,751.8,960,G,G,E,E,4,723.06
210059443264,Feminino,14,Branca,Não respondeu,NA,NA,1,1,1,1,419.6,480.7,480.9,437.6,320,A,A,F,A,5,427.76
210059476554,Feminino,3,Parda,Privada,Ensino Regular,Privada,1,1,1,1,624.3,554.2,493.7,485.5,760,E,E,C,F,3,583.54
210061426518,Feminino,3,Branca,Pública,Ensino Regular,Estadual,1,1,1,1,521.5,557.8,594.9,474.6,840,B,G,B,D,2,597.76
210059960879,Masculino,2,Parda,Pública,Ensino Regular,Privada,1,1,1,1,472.6,613.9,571.2,514.3,560,E,G,B,B,3,546.4
210060580119,Feminino,2,Parda,Pública,Ensino Regular,NA,1,1,1,1,455.1,519.7,470.2,559.4,340,E,G,A,D,3,468.88
210058247506,Feminino,3,Branca,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,E,E,E,E,3,0
210061537765,Masculino,4,Parda,Não respondeu,NA,NA,1,1,1,1,445.5,532.6,555.3,461,380,E,E,C,F,3,474.88
210058736929,Masculino,3,Parda,Não respondeu,NA,NA,1,1,1,1,403.6,508,511.7,496.2,520,B,B,A,F,4,487.9
210059171776,Feminino,14,Parda,Não respondeu,NA,NA,1,1,1,1,434.3,366.3,409.9,343,300,C,C,A,A,3,370.7
210059504685,Feminino,2,Branca,Pública,Ensino Regular,Estadual,0,0,0,0,0,0,0,0,0,H,E,F,B,3,0
210060101592,Masculino,1,Amarela,Não respondeu,NA,NA,1,1,1,1,529.1,576.1,520.5,744.7,540,E,F,D,D,3,582.08
210058858416,Feminino,3,Parda,Pública,Ensino Regular,Estadual,1,1,1,1,443.1,491.6,508.6,595.8,740,B,B,A,A,3,555.82
210061436349,Feminino,2,Parda,Pública,Ensino Regular,NA,1,1,1,1,349.9,430.5,469.9,393.6,540,E,E,C,D,4,436.78
210058275426,Feminino,3,Parda,Pública,Ensino Regular,Estadual,1,1,1,1,412.4,421,464,431.7,800,H,H,F,F,3,505.82
210060158295,Feminino,2,Parda,Pública,Ensino Regular,Estadual,1,1,1,1,385.8,437.7,491.8,491.4,540,A,B,B,B,5,469.34
210059594754,Feminino,2,Branca,Não respondeu,NA,NA,1,1,1,1,486.8,582.2,572.3,563.1,940,G,F,E,D,4,628.88
210060986408,Masculino,9,Branca,Não respondeu,NA,NA,1,1,1,1,555.3,577.7,363.3,601.4,860,G,C,B,B,4,591.54
210059790612,Feminino,7,Parda,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,B,C,B,B,4,0
210060569421,Masculino,11,Branca,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,B,B,C,B,6,0
210060913493,Feminino,2,Preta,Pública,Ensino Regular,NA,1,1,1,1,437.9,516.4,450.2,406.2,480,H,A,B,B,4,458.14
210060342751,Masculino,1,Branca,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,B,B,B,B,5,0
210058213106,Masculino,6,Parda,Não respondeu,NA,NA,1,1,1,1,341.6,352,326.5,418.9,300,H,C,F,B,1,347.8
210058419927,Feminino,13,Preta,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,C,B,B,A,4,0
210059203177,Feminino,3,Branca,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,E,E,B,B,2,0
210061214640,Masculino,17,Branca,Não respondeu,NA,NA,1,1,1,1,362.2,582.3,537.2,548.6,600,C,C,D,D,1,526.06
210061166517,Masculino,4,Parda,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,E,E,D,A,4,0
210061401361,Feminino,2,Parda,Pública,Ensino Regular,Estadual,0,1,1,0,0,497.1,464.1,0,0,H,C,A,A,6,192.24
210061414132,Feminino,13,Preta,Não respondeu,NA,NA,1,1,1,1,491.3,531,541.1,489,560,C,B,B,B,3,522.48
210060369602,Feminino,1,Branca,Não respondeu,NA,NA,1,1,1,1,622.6,666.3,616.7,804.2,940,G,G,E,E,3,729.96
210058823175,Feminino,4,Parda,Não respondeu,NA,NA,1,1,1,1,459.5,472.1,535,491.5,360,E,B,B,B,3,463.62
210058207421,Masculino,5,Branca,Não respondeu,NA,NA,1,1,1,1,491.2,524.7,568.2,544.4,800,E,E,B,F,4,585.7
210061367417,Feminino,3,Parda,Pública,Ensino Regular,NA,0,0,0,0,0,0,0,0,0,B,E,B,B,4,0
210061290092,Feminino,1,Branca,Não respondeu,NA,NA,1,1,1,1,512.3,419.1,516.1,560.4,640,E,E,F,B,5,529.58
210061825578,Feminino,14,Amarela,Não respondeu,NA,NA,1,1,1,1,454.8,530.9,474.4,444.6,660,C,E,B,F,4,512.94
210059631271,Feminino,3,Branca,Privada,Ensino Regular,Privada,1,1,1,1,591.2,643,601.7,660.5,760,F,G,F,E,4,651.28
210059193564,Feminino,3,Parda,Pública,Ensino Regular,NA,1,1,1,1,507.1,584.3,527.8,525,740,E,E,B,B,5,576.84
210059579208,Feminino,3,Branca,Pública,Ensino Regular,NA,1,1,1,1,542.2,552.6,596.2,553.9,700,E,E,C,B,3,588.98
210061314211,Feminino,2,Branca,Pública,Ensino Regular,Estadual,1,1,1,1,347.6,503.1,542.2,407.7,680,C,E,C,D,2,496.12
210061578902,Feminino,5,Parda,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,H,C,A,B,5,0
210058196779,Masculino,1,Parda,Não respondeu,NA,NA,1,1,1,1,518.9,525.3,510.2,574.7,0,H,E,F,B,2,425.82
210058317399,Feminino,3,Branca,Não respondeu,NA,NA,1,1,1,1,601.4,544.6,505.1,602.3,860,H,G,E,E,5,622.68
210058947667,Feminino,13,Branca,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,H,F,A,D,4,0
210060066436,Feminino,4,Parda,Não respondeu,NA,NA,1,1,1,1,612.1,586.3,628.1,620,860,E,G,C,D,1,661.3
210059474737,Feminino,2,Branca,Não respondeu,NA,NA,0,1,1,0,0,471,454,0,640,F,E,E,B,3,313
